Major,Median
SCIENCE AND COMPUTER TEACHER EDUCATION,32000
PSYCHOLOGY,31500
MUSIC,31000
PHYSICAL AND HEALTH EDUCATION TEACHING,31000
ART HISTORY AND CRITICISM,31000
FINE ARTS,30500
FAMILY AND CONSUMER SCIENCES,30000
SOCIAL WORK,30000
ANIMAL SCIENCES,30000
VISUAL AND PERFORMING ARTS,30000
TEACHER EDUCATION: MULTIPLE LEVELS,30000
MISCELLANEOUS PSYCHOLOGY,30000
HUMAN SERVICES AND COMMUNITY ORGANIZATION,30000
HUMANITIES,30000
THEOLOGY AND RELIGIOUS VOCATIONS,29000
STUDIO ARTS,29000
COSMETOLOGY SERVICES AND CULINARY ARTS,29000
MISCELLANEOUS AGRICULTURE,29000
ANTHROPOLOGY AND ARCHEOLOGY,28000
COMMUNICATION DISORDERS SCIENCES AND SERVICES,28000
EARLY CHILDHOOD EDUCATION,28000
OTHER FOREIGN LANGUAGES,27500
DRAMA AND THEATER ARTS,27000
COMPOSITION AND RHETORIC,27000
ZOOLOGY,26000
EDUCATIONAL PSYCHOLOGY,25000
CLINICAL PSYCHOLOGY,25000
COUNSELING PSYCHOLOGY,23400
LIBRARY SCIENCE,22000
