DATE OCC,Crm Cd Desc,AREA NAME,Status Desc,TIME OCC,quater
07/05/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2300,2020Q3
05/19/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2100,2020Q2
05/27/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,500,2020Q2
09/01/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Arrest,500,2020Q3
01/02/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,800,2020Q1
05/10/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1400,2020Q2
10/09/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2200,2020Q4
07/22/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2130,2020Q3
10/22/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2130,2020Q4
09/01/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,945,2020Q3
10/20/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1200,2020Q4
03/07/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q1
07/25/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,436,2020Q3
04/03/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1200,2020Q2
11/14/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1500,2020Q4
12/01/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1530,2020Q4
11/11/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,700,2020Q4
06/13/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,220,2020Q2
05/11/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,800,2020Q2
09/19/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,800,2020Q3
09/29/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Arrest,2230,2020Q3
04/11/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1,2020Q2
04/23/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q2
12/13/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q4
08/04/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,800,2020Q3
11/22/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,200,2020Q4
09/28/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q3
10/14/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Arrest,740,2020Q4
05/05/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1500,2020Q2
10/20/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,830,2020Q4
08/26/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q3
08/07/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2030,2020Q3
12/04/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2300,2020Q4
06/16/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2100,2020Q2
03/08/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1050,2020Q1
12/09/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2300,2020Q4
01/01/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2200,2020Q1
01/08/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1,2020Q1
10/29/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,130,2020Q4
03/03/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1830,2020Q1
09/11/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,800,2020Q3
11/10/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q4
12/03/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2200,2020Q4
12/20/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q4
03/20/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1300,2020Q1
04/03/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q2
05/04/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Other,1000,2020Q2
02/29/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q1
08/27/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1600,2020Q3
03/23/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,900,2020Q1
12/07/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,500,2020Q4
12/28/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2200,2020Q4
11/28/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1500,2020Q4
10/06/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,800,2020Q4
04/05/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1500,2020Q2
09/29/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q3
08/20/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2300,2020Q3
03/28/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,430,2020Q1
10/19/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1420,2020Q4
10/29/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1530,2020Q4
06/12/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1200,2020Q2
07/12/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q3
05/03/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1400,2020Q2
09/18/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1955,2020Q3
03/09/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,300,2020Q1
09/09/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,300,2020Q3
07/05/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,245,2020Q3
10/27/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q4
12/26/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q4
07/07/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1300,2020Q3
10/20/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1530,2020Q4
02/26/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q1
12/13/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1417,2020Q4
11/03/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,300,2020Q4
11/29/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q4
12/06/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1830,2020Q4
07/29/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2015,2020Q3
07/11/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1000,2020Q3
09/09/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1000,2020Q3
12/27/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2300,2020Q4
02/01/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1400,2020Q1
04/08/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1245,2020Q2
08/17/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Other,800,2020Q3
03/01/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Arrest,30,2020Q1
11/11/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q4
10/21/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,130,2020Q4
07/02/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Other,1800,2020Q3
06/29/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1100,2020Q2
12/25/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2135,2020Q4
09/03/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2255,2020Q3
06/03/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q2
06/12/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q2
02/27/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,800,2020Q1
10/25/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1930,2020Q4
10/02/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q4
10/16/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2145,2020Q4
09/28/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q3
